   .5578445E-01   .5569925E-01   .5548402E-01   .5517958E-01   .5486541E-01
   .5455504E-01   .5425199E-01   .5395897E-01   .5368046E-01   .5341550E-01
   .5316845E-01   .5294083E-01   .5273659E-01   .5255523E-01   .5239924E-01
   .5226784E-01   .5216316E-01   .5208076E-01   .5202079E-01   .5198129E-01
   .5196291E-01   .5196102E-01   .5197600E-01   .5200545E-01   .5205044E-01
   .5210816E-01   .5217987E-01   .5226570E-01   .5236813E-01   .5248338E-01
   .5261271E-01   .5275474E-01   .5291049E-01   .5307393E-01   .5324666E-01
   .5342610E-01   .5361507E-01   .5381252E-01   .5402105E-01   .5424316E-01
   .5448211E-01   .5473630E-01   .5500853E-01   .5529867E-01   .5560845E-01
   .5593548E-01   .5627993E-01   .5664100E-01   .5702091E-01   .5741446E-01
   .5782350E-01   .5824562E-01   .5868207E-01   .5913072E-01   .5959335E-01
   .6007110E-01   .6056788E-01   .6108279E-01   .6161972E-01   .6218129E-01
   .6277211E-01   .6339089E-01   .6404043E-01   .6472020E-01   .6543123E-01
   .6616448E-01   .6691935E-01   .6769188E-01   .6848289E-01   .6928944E-01
   .7011496E-01   .7096033E-01   .7183010E-01   .7272066E-01   .7363453E-01
   .7456792E-01   .7551814E-01   .7647745E-01   .7744530E-01   .7841927E-01
   .7940313E-01   .8039418E-01   .8139765E-01   .8241429E-01   .8344932E-01
   .8449851E-01   .8556282E-01   .8663830E-01   .8772515E-01   .8881803E-01
   .8991921E-01   .9102960E-01   .9215586E-01   .9329753E-01   .9445867E-01
   .9564003E-01   .9684368E-01   .9806179E-01   .9929646E-01   .1005456E+00
   .1018116E+00   .1030907E+00   .1043839E+00   .1056877E+00   .1070017E+00
   .1083166E+00   .1096313E+00   .1109429E+00   .1122559E+00   .1135730E+00
   .1149037E+00   .1162522E+00   .1176220E+00   .1190023E+00   .1203891E+00
   .1217735E+00   .1231549E+00   .1245295E+00   .1259021E+00   .1272773E+00
   .1286644E+00   .1300676E+00   .1314948E+00   .1329469E+00   .1344272E+00
   .1359301E+00   .1374552E+00   .1390008E+00   .1405704E+00   .1421499E+00
   .1437410E+00   .1453397E+00   .1469506E+00   .1485741E+00   .1502175E+00
   .1518795E+00   .1535599E+00   .1552462E+00   .1569363E+00   .1586252E+00
   .1603153E+00   .1620076E+00   .1637105E+00   .1654327E+00   .1671869E+00
   .1689745E+00   .1708015E+00   .1726592E+00   .1745377E+00   .1764179E+00
   .1782888E+00   .1801446E+00   .1819906E+00   .1838257E+00   .1856598E+00
   .1874955E+00   .1893412E+00   .1911950E+00   .1930574E+00   .1949240E+00
   .1967968E+00   .1986687E+00   .2005495E+00   .2024462E+00   .2043735E+00
   .2063341E+00   .2083315E+00   .2103590E+00   .2124100E+00   .2144734E+00
   .2165481E+00   .2186293E+00   .2207110E+00   .2227767E+00   .2248137E+00
   .2268087E+00   .2287596E+00   .2306607E+00   .2325261E+00   .2343688E+00
   .2362076E+00   .2380491E+00   .2398963E+00   .2417351E+00   .2435458E+00
   .2452979E+00   .2469735E+00   .2485642E+00   .2500818E+00   .2515501E+00
   .2530112E+00   .2545038E+00   .2560610E+00   .2576811E+00   .2593575E+00
   .2610663E+00   .2627894E+00   .2645091E+00   .2662228E+00   .2679337E+00
