   .2118690E-02   .2511197E-02   .1628667E-02  -.1860106E-03  -.1362879E-03
  -.1118919E-03  -.7204710E-04  -.3648882E-04  -.1265478E-04  -.7468748E-05
  -.2154615E-04  -.5002676E-04  -.8846786E-04  -.1316295E-03  -.1718534E-03
  -.2087407E-03  -.2451359E-03  -.2738550E-03  -.2868527E-03  -.2875167E-03
  -.2836314E-03  -.2745889E-03  -.2541769E-03  -.2232655E-03  -.1886145E-03
  -.1529544E-03  -.1133889E-03  -.6868623E-04  -.2471544E-04   .1014666E-04
   .3159072E-04   .4122547E-04   .4200189E-04   .3693213E-04   .3110134E-04
   .2414851E-04   .1093885E-04  -.7439529E-05  -.2410504E-04  -.3305620E-04
  -.3908854E-04  -.5838056E-04  -.9456795E-04  -.1326113E-03  -.1591297E-03
  -.1735530E-03  -.1847278E-03  -.1922765E-03  -.1838684E-03  -.1574219E-03
  -.1312138E-03  -.1320396E-03  -.1717382E-03  -.2362983E-03  -.3044044E-03
  -.3641419E-03  -.3996385E-03  -.3885095E-03  -.3354251E-03  -.2821321E-03
  -.2715219E-03  -.3039839E-03  -.3319829E-03  -.3191139E-03  -.2788300E-03
  -.2406532E-03  -.2168244E-03  -.2033223E-03  -.1913397E-03  -.1756683E-03
  -.1557875E-03  -.1330835E-03  -.1123889E-03  -.1024478E-03  -.1135971E-03
  -.1436640E-03  -.1675618E-03  -.1611546E-03  -.1271076E-03  -.8846909E-04
  -.6541475E-04  -.5927475E-04  -.5288769E-04  -.3645451E-04  -.2916496E-04
  -.5659880E-04  -.1148998E-03  -.1707741E-03  -.1962417E-03  -.1914958E-03
  -.1888545E-03  -.2292971E-03  -.2996841E-03  -.3475285E-03  -.3531848E-03
  -.3306432E-03  -.2968937E-03  -.2670167E-03  -.2688905E-03  -.3397392E-03
  -.4429899E-03  -.4666550E-03  -.4063818E-03  -.3603823E-03  -.3496559E-03
  -.3662475E-03  -.4543995E-03  -.5946458E-03  -.6966237E-03  -.7386812E-03
  -.7292171E-03  -.6169859E-03  -.3705660E-03  -.5419826E-04   .2107224E-03
   .3515254E-03   .3841184E-03   .3170230E-03   .1431614E-03  -.5839239E-04
  -.1637770E-03  -.1197347E-03   .1625639E-04   .1100323E-03   .2927561E-04
