0	-4.625550661
0.178571429	32.37885463
0.535714286	60.13215859
1.25	78.63436123
1.785714286	90.969163
2.142857143	97.13656388
3.392857143	118.722467
3.571428571	106.3876652
3.571428571	94.05286344
1.785714286	44.71365639
0.892857143	20.04405286
0.178571429	-7.709251101
-0.535714286	-50.88105727
-2.142857143	-100.2202643
-3.035714286	-124.8898678
-3.392857143	-131.0572687
-3.392857143	-109.4713656
-3.035714286	-81.71806167
-1.785714286	-35.46255507
-1.25	-13.87665198
-0.535714286	7.709251101
-0.178571429	26.21145374
0.357142857	53.96475771
0.892857143	69.38325991
1.428571429	84.80176211
2.5	106.3876652
4.285714286	131.0572687
5	137.2246696
5.178571429	131.0572687
5	115.6387665
3.214285714	63.21585903
2.321428571	41.62995595
1.25	13.87665198
0.535714286	-1.54185022
-0.178571429	-32.37885463
-0.892857143	-60.13215859
-2.142857143	-94.05286344
-2.857142857	-118.722467
-3.75	-137.2246696
-5.357142857	-161.8942731
-5.892857143	-164.9779736
-5.892857143	-155.7268722
-5.892857143	-143.3920705
-6.071428571	-131.0572687
-3.035714286	-53.96475771
-2.321428571	-35.46255507
-1.785714286	-20.04405286
-1.071428571	-1.54185022
-0.357142857	13.87665198
0.178571429	47.79735683
1.071428571	72.46696035
1.785714286	94.05286344
3.928571429	127.9735683
5.892857143	149.5594714
6.607142857	152.6431718
6.428571429	124.8898678
3.392857143	57.04845815
2.5	38.54625551
1.607142857	20.04405286
0.892857143	4.625550661
0	-23.1277533
-1.071428571	-69.38325991
-1.964285714	-90.969163
-2.678571429	-112.5550661
-4.107142857	-140.30837
-6.607142857	-171.1453744
-7.321428571	-180.3964758
-7.857142857	-177.3127753
-7.857142857	-164.9779736
-7.678571429	-146.4757709
-7.321428571	-134.1409692
-6.607142857	-118.722467
-5	-90.969163
-3.392857143	-47.79735683
-2.321428571	-26.21145374
-1.607142857	-7.709251101
-1.071428571	7.709251101
1.428571429	72.46696035
2.321428571	87.88546256
3.392857143	103.3039648
4.285714286	118.722467
6.25	143.3920705
7.321428571	155.7268722
8.035714286	161.8942731
8.035714286	152.6431718
8.035714286	131.0572687
8.035714286	121.8061674
6.607142857	94.05286344
4.821428571	69.38325991
3.035714286	35.46255507
2.142857143	23.1277533
1.25	10.79295154
-1.428571429	-63.21585903
-3.035714286	-115.6387665
